時間戳記,1. 性別,2. 年級,3. 系級(範例：科技系116),4. 這學期學分數(請輸入數字，單位為學分),5. 每天使用3C時間多寡，以小時計(是指看影片、社群、打Game等等),6. 是否單身(是指是否有沒有男女朋友),7. 是否打工,8. 是否參加社團,9. 經濟能力,10. 是否申請獎學金,11. 是否住學校宿舍,12. 睡眠品質是否好不好(例如是否有開冷氣、或是室友睡覺是否打呼，或是有沒有睡飽等等),13. 每周總讀書時間(請輸入數字，單位為小時),讀書時間高低程度
2024/3/5 下午 1:11:18,女,大一,企管系116,20,3-5小時,是,否,否,小康,否,否,否,31.5,佳
2024/3/5 下午 1:20:51,男,大一,學習科學116,23,5-10小時,是,否,否,小康,否,否,是,7,尚可
2024/3/5 下午 1:26:00,男,大二,機電系115,22,3-5小時,否,否,否,困難,否,否,否,3,少
2024/3/5 下午 1:30:19,男,大二,機電系115,22,3-5小時,是,否,否,困難,否,否,否,3,少
2024/3/5 下午 1:31:21,男,大二,機電系115,22,5-10小時,是,是,否,小康,否,否,否,14,不錯
2024/3/5 下午 1:36:11,男,大一,物理116,20,5-10小時,是,否,否,小康,否,是,否,3,少
2024/3/5 下午 1:42:14,男,大三,電機系114,22,5-10小時,否,否,是,小康,是,否,否,10,尚可
2024/3/5 下午 1:46:34,男,大四,電機系113,10,5-10小時,是,否,是,小康,否,是,否,5,尚可
2024/3/5 下午 1:47:24,男,大四,機電112,15,3-5小時,是,是,否,小康,否,否,是,3,少
2024/3/5 下午 1:48:53,男,大三,電機系114,23,10小時以上,是,是,否,困難,否,是,否,30,佳
2024/3/5 下午 1:54:59,男,大四,生科113,14,3-5小時,是,否,否,困難,是,否,是,12,不錯
2024/3/5 下午 1:55:11,女,大四,地理113,11,3-5小時,是,否,否,小康,否,是,是,21,佳
2024/3/5 下午 1:55:14,男,大三,物理系114,19,3-5小時,是,否,否,小康,否,否,是,10,尚可
2024/3/5 下午 1:55:18,女,大四,地理113,11,低於3小時,否,是,是,困難,是,是,是,5,尚可
2024/3/5 下午 1:55:19,男,大二,生科115,21,3-5小時,否,否,否,小康,否,否,是,12,不錯
2024/3/5 下午 1:55:25,男,大三,電機系 114,17,10小時以上,否,是,否,小康,否,是,是,6,尚可
2024/3/5 下午 1:55:29,女,大二,機電系115,22,3-5小時,是,是,否,小康,否,否,否,5,尚可
2024/3/5 下午 1:55:32,男,大四,車能111,16,5-10小時,是,否,否,困難,否,否,是,10,尚可
2024/3/5 下午 1:56:12,男,大四,電機113,12,5-10小時,是,否,否,小康,是,是,是,2,少
2024/3/5 下午 1:56:35,男,大二,機電系 115,22,5-10小時,否,否,否,小康,否,否,否,10,尚可
2024/3/5 下午 1:56:43,男,大一,科技系116,26,5-10小時,是,否,是,小康,否,是,是,5,尚可
2024/3/5 下午 1:57:18,女,大二,數學115,28,3-5小時,是,否,是,小康,否,是,是,15,不錯
2024/3/5 下午 1:57:26,女,大二,機電系115,20,3-5小時,否,是,否,困難,否,是,是,2,少
2024/3/5 下午 1:57:32,男,大三,114,25,低於3小時,是,否,否,困難,否,是,是,5,尚可
2024/3/5 下午 1:57:33,男,大一,國文系116,25,3-5小時,是,是,是,困難,是,是,否,10,尚可
2024/3/5 下午 1:57:40,男,大三,數學系114,20,3-5小時,否,否,否,困難,否,是,是,40,佳
2024/3/5 下午 1:57:44,女,大四,機電系113級,13,3-5小時,是,否,否,小康,否,否,否,20,佳
2024/3/5 下午 1:57:50,女,大三,機電系114,17,3-5小時,否,是,否,小康,否,是,是,4,少
2024/3/5 下午 1:57:59,男,大二,機電115,22,3-5小時,是,是,否,困難,否,否,是,10,尚可
2024/3/5 下午 1:58:01,女,大一,不分系(教院學士班)116,22,5-10小時,是,是,是,小康,否,否,否,1,少
2024/3/5 下午 1:58:05,男,大三,企管114,22,3-5小時,是,是,是,小康,否,是,否,25,佳
2024/3/5 下午 1:58:09,男,大一,科技系116,26,5-10小時,是,否,否,小康,是,是,是,9,尚可
2024/3/5 下午 1:58:23,男,大二,英語系115,22,3-5小時,否,是,是,小康,否,是,否,9,尚可
2024/3/5 下午 1:58:49,男,大三,物理系114,18,5-10小時,是,否,否,困難,否,是,否,21,佳
2024/3/5 下午 1:58:53,女,大四,數學113,8,5-10小時,否,否,是,小康,否,是,是,3,少
2024/3/5 下午 1:58:55,男,大三,電機114,16,5-10小時,是,是,否,小康,否,否,是,10,尚可
2024/3/5 下午 1:59:15,女,大二,教育系115,29,3-5小時,是,否,否,小康,否,是,是,8,尚可
2024/3/5 下午 1:59:16,女,大二,企管115,17,5-10小時,否,是,否,小康,否,是,是,2,少
2024/3/5 下午 1:59:29,女,大二,機電系115,19,5-10小時,否,否,否,困難,否,否,否,10,尚可
2024/3/5 下午 2:00:38,女,大四,地理113,6,5-10小時,是,是,否,小康,是,否,否,3,少
2024/3/5 下午 3:16:36,男,大四,物理113,19,3-5小時,是,否,是,小康,否,是,是,15,不錯
2024/3/5 下午 4:18:39,男,大三,機電系114,11,5-10小時,是,是,否,小康,是,否,否,2,少
